chr22:10631397:10680825:+	1	1
chr22:10685985:10686108:-	1	1
chr22:10734526:10754425:-	1	1
chr22:10769025:10774630:-	1	1
chr22:10769025:10776669:-	1	1
chr22:10769025:10777344:-	2	1
chr22:10775225:10776653:+	3	1
chr22:10776670:10777344:-	1	1
chr22:10834705:10836273:-	1	1
chr22:10941781:10944966:-	1	1
chr22:10950175:10959066:-	2	1
chr22:11022290:11023109:-	2	1
chr22:11032972:11039590:+	1	1
chr22:11033185:11052106:-	1	0
chr22:11033333:11040075:+	1	1
chr22:11051495:11056837:+	1	1
chr22:11135194:11135805:-	1	1
chr22:11145231:11159667:+	1	1
chr22:11478152:11478235:-	1	1
chr22:11478152:11478569:-	1	1
chr22:11479337:11479495:+	3	1
chr22:11484973:11494250:-	2	1
chr22:11571412:11604130:+	1	1
chr22:11581001:11582608:+	1	1
chr22:11627344:11718167:-	2	1
chr22:11627651:11719489:+	2	1
chr22:11688317:11688699:+	1	1
chr22:11808919:11843936:+	2	1
chr22:11835663:11846226:-	1	1
chr22:11839196:11887234:-	1	1
chr22:11844291:11874135:-	1	1
chr22:11857241:11886584:+	1	1
chr22:11867846:11870839:-	1	1
chr22:11890231:11891781:+	1	1
chr22:11927732:12085200:+	6	1
chr22:11963793:12043162:-	2	1
chr22:12035876:12038890:-	1	1
chr22:12149629:12156841:-	1	1
chr22:12150742:12181146:+	1	1
chr22:12620939:12624241:+	1	1
chr22:12624334:12625316:+	1	1
chr22:12806405:12878497:+	3	1
chr22:15169292:15171001:+	1	1
chr22:15169298:15180558:-	1	1
chr22:15170660:15171001:+	1	1
chr22:15171349:15180558:-	1	1
chr22:15172033:15180558:-	1	1
chr22:15176293:15180558:-	1	1
chr22:15223308:15256629:-	1	1
chr22:15255272:15262894:+	1	1
chr22:15261718:15277586:+	1	1
chr22:15281955:15302394:+	2	1
chr22:15282318:15302758:-	2	1
chr22:15312744:15346065:-	1	1
chr22:15326365:15326630:+	1	1
chr22:15326449:15326630:+	1	1
